dialogueId,utteranceNo,authorRole,utterances,Marker1,Marker2,Cause1,Cause2
3237,0,counselor,Rakshak welcomes you in a safe and secured environment. How May I help you?,,,,
3237,1,victim,Hi rakshak! I need your help.,I need your help.,,,
3237,2,counselor,Rakshak is committed to assisting you in this secure environment. Would you please share that who is interacting with us?,,,,
3237,3,victim,I am <person_name> and I am <person_age> years old.,,,,
3237,4,counselor,"Hi <person_name>, would you please share your issue in detail to assist you in a better way? ",please share your issue in detail,,,
3237,5,victim,My uncle is trying to harass me. I don't know from where he got my sensitive documents and he is asking me to sleep with him for at least one night.,My uncle is trying to harass me.,,I don't know from where he got my sensitive documents,he is asking me to sleep with him for at least one night
3237,6,counselor,It's really disgusting. How a person can do this to a girl. Please don't feel alone. Would you please share how long you have been facing this issue?,It's really disgusting.,Please don't feel alone.,,
3237,7,victim,I am facing this issue for last one month.,I am facing this issue for last one month.,,,
3237,8,counselor,I am sorry that you have been facing all this. Would you please be comfortable sharing how your uncle is troubling you?,I am sorry that you have been facing all this,how your uncle is troubling you,,
3237,9,victim,"He knows that I have a boyfriend. Somehow, he managed my sensitive pics and video in which I was with my boyfriend. On the basis of that pics and videos he is harassing me. ",On the basis of that pics and videos he is harassing me.,,he managed my sensitive pics and video in which I was with my boyfriend.,
3237,10,counselor,It's absolutely disgusting. How an uncle can do this to someone like a daughter. Would you please be more comfortable sharing that is he your own uncle or some called uncle?,It's absolutely disgusting,,,
3237,11,victim,"He is my paternal uncle, my father's sister-in-law. ",,,,
3237,12,counselor,Oh! Please be alert while making any sort of communication with him. Would you please share that has he sent some pics or videos on your mobile?,Please be alert while making any sort of communication with him.,,has he sent some pics or videos on your mobile,
3237,13,victim,"No, he sent me my stuff on Facebook. ",,,he sent me my stuff on Facebook. ,
3237,14,counselor,Oh! Has he shared all the stuff on your Facebook wall or in the Facebook chatbox?,,,Has he shared all the stuff on your Facebook wall or in the Facebook chatbox?,
3237,15,victim,Facebook chatbox.,,,,
3237,16,counselor,Have you tried to report or block him on Facebook?,Have you tried to report or block him on Facebook,,,
3237,17,victim,"Yes, but he forced me to not block/report him. I am very scared. ",I am very scared,, he forced me to not block/report him,
3237,18,counselor,"Thanks for being patient while replying to all the questions. This is an instance of online harassment which is an offense under 354A of IPC through the Criminal Law (Amendment) Act, 2013. You can report this to Cyber Cell, National Commission for Women, and Ministry for Women and Child Development.   ",This is an instance of online harassment,,,
3237,19,victim,I will go for Cyber Cell complaint option.,,,,
3237,20,counselor,Would you please share your residence location to assist you properly?,,,,
3237,21,victim,I live in Gandhinagar (UP).,,,,
3237,22,counselor,Thanks for providing us with the location. Please visit the nearest cyber cell office <office_address>.,,,,
3237,23,victim,Can you share any contact no or email address of this cyber cell?,,,,
